feature,mean_abs_shap
Gold_x_lag3,0.12847725821202022
Gold_x_lag4,0.05872344314394573
S&P_500_x_lag11,0.048071045727938626
Gold_x_lag15,0.04301517968709756
Gold_y_lag1,0.03933836438829606
Gold_x_lag7,0.03836669277898434
Gold_x_lag16,0.038282789621156804
avg_dcc_avg5_lag20,0.03601988264972104
Gold_x_lag6,0.030674400880559827
Crude_Oil_x_lag11,0.025314630210722524
Gold_x_lag17,0.025283728118452517
Gold_y_lag2,0.02495936065210496
Gold_x_lag5,0.022203245283297396
Gold_x_lag12,0.02212054198044274
Crude_Oil_x_lag10,0.020829326998750494
Wheat_y_lag16,0.01816212399089161
Crude_Oil_x_lag12,0.016298642788980074
Crude_Oil_x_lag14,0.015801518241827076
Gold_x_lag1,0.015480154792541612
avg_dcc_avg22_lag9,0.015275483491121917
avg_dcc_avg5_lag19,0.015250066881656222
Wheat_y_lag15,0.014783328972685854
S&P_500_x_lag12,0.013868855653438743
Wheat_y_lag7,0.01354305837580615
Gold_x_lag19,0.01348283503669054
Wheat_y_lag1,0.013184772097934776
IEF_y_lag14,0.013016185694056817
Wheat_x_lag16,0.01239691710926332
PBW_x_lag20,0.01220972877321022
avg_dcc_z20_lag20,0.011736072613527137
avg_dcc_avg22_lag20,0.009819270989299182
avg_dcc_avg22_lag13,0.009663865723113074
avg_dcc_avg22_lag16,0.00958546380136868
avg_dcc_avg5_lag15,0.009488352615075649
avg_dcc_z20_lag8,0.009284570775353952
S&P_500_x_lag8,0.009269747018367986
PBW_x_lag11,0.009219858030653116
Total_Spillover_avg5_lag18,0.00886035288035652
avg_dcc_avg22_lag8,0.008046578360990101
Natural_Gas_x_lag2,0.007958239135335306
Wheat_x_lag15,0.007789577709800734
Wheat_x_lag1,0.007635877712734228
PBW_x_lag6,0.007611509229366529
Total_Spillover_avg5_lag5,0.007467455187098538
S&P_500_y_lag4,0.0074355064980558055
Total_Spillover_z20_lag14,0.007347884959573673
avg_dcc_avg22_lag10,0.0072852429729131415
Total_Spillover_z20_lag3,0.0072723395999028835
Crude_Oil_y_lag4,0.0070777153311092035
IEF_y_lag15,0.00672103246487483
PBW_x_lag15,0.006546464640719883
avg_dcc_lag2,0.006202053142824094
IEF_y_lag6,0.006039364279235592
Wheat_y_lag19,0.005912984707439911
S&P_500_x_lag1,0.005589650732856734
Gold_x_lag11,0.005441828731656555
Crude_Oil_x_lag17,0.005401293903779514
Total_Spillover_z20_lag20,0.005385110582710788
IEF_x_lag6,0.005363568076915039
avg_dcc_avg22_lag17,0.005122021537980651
Gold_x_lag9,0.005119715697525132
Total_Spillover_avg5_lag20,0.005107125958062172
Natural_Gas_x_lag13,0.004939774885137479
Crude_Oil_y_lag13,0.0047445248785523
S&P_500_x_lag20,0.004439853332572634
PBW_x_lag13,0.004270116411413764
Natural_Gas_y_lag1,0.004213648096029013
Wheat_y_lag8,0.004212777937863253
Total_Spillover_z20_lag13,0.0040887054703455305
Gold_y_lag6,0.00404845092357911
IEF_y_lag1,0.003965228475596736
IEF_y_lag2,0.003958913264469202
Natural_Gas_y_lag12,0.0038873183582818936
PBW_y_lag7,0.0036968258908185456
avg_dcc_avg22_lag5,0.003690706205959548
Natural_Gas_x_lag9,0.003687232619855817
Crude_Oil_y_lag6,0.003653795394907325
Crude_Oil_x_lag4,0.0035766977559249322
avg_dcc_avg22_lag15,0.0034896162777524327
PBW_x_lag12,0.0034144682742444665
avg_dcc_avg22_lag18,0.0034042681088463627
PBW_x_lag17,0.0033764893476859294
IEF_x_lag17,0.0033688540224689075
Total_Spillover_avg22_lag19,0.0033617974814384405
S&P_500_x_lag9,0.0033428038464089166
avg_dcc_z20_lag4,0.003289615980319382
Total_Spillover_avg5_lag3,0.0031684844144049752
Total_Spillover_avg5_lag19,0.0031507390889392245
PBW_x_lag5,0.0030991396967790246
PBW_x_lag14,0.0030982059324201647
PBW_x_lag19,0.0030812497104312376
IEF_x_lag7,0.0030128644330620117
PBW_y_lag10,0.0029713288120631833
Crude_Oil_x_lag20,0.00290512203845755
Gold_y_lag15,0.0029007421525419027
Crude_Oil_x_lag7,0.0028553648269645784
Wheat_y_lag18,0.0028474341958967153
Total_Spillover_avg5_lag6,0.002836575010334142
avg_dcc_avg5_lag9,0.0027631145574287946
S&P_500_y_lag10,0.0027298906089405772
PBW_x_lag7,0.0027080701283722706
avg_dcc_z20_lag11,0.0027010213159172135
S&P_500_x_lag6,0.00268999371170475
Total_Spillover_z20_lag4,0.002651061097519955
PBW_y_lag4,0.002622410517800749
Gold_y_lag19,0.0026167976444341884
Gold_y_lag4,0.0025638187285372395
avg_dcc_avg5_lag13,0.002531321603911819
Natural_Gas_x_lag8,0.0025306570452037513
S&P_500_y_lag20,0.0025123663805314074
IEF_y_lag18,0.0025046823466421024
Natural_Gas_x_lag12,0.0024453957107612996
Crude_Oil_x_lag15,0.002390393564136097
Total_Spillover_z20_lag7,0.002340506899316657
Gold_x_lag10,0.0023296811049558835
Total_Spillover_avg22_lag4,0.0022754368224090654
avg_dcc_z20_lag7,0.0021855640366578947
IEF_y_lag7,0.002122560464675201
IEF_y_lag5,0.002013193085557255
Natural_Gas_y_lag20,0.0020071484097040015
avg_dcc_z20_lag1,0.001998015590273711
IEF_x_lag2,0.0019596290706633697
PBW_y_lag20,0.001955490788702768
S&P_500_x_lag16,0.0019467415588871777
Crude_Oil_y_lag5,0.0019274155071328802
Crude_Oil_x_lag8,0.001902685418706157
Crude_Oil_y_lag10,0.0018954177315034816
Natural_Gas_y_lag10,0.0018871913751635216
avg_dcc_avg5_lag4,0.0018654785181199955
Total_Spillover_z20_lag6,0.0018264786006814166
S&P_500_x_lag19,0.0018166204399445052
PBW_x_lag2,0.001814753075309723
avg_dcc_avg5_lag14,0.001808635742782637
avg_dcc_avg22_lag6,0.001796784635239573
Total_Spillover_z20_lag11,0.0017954873762598977
avg_dcc_avg22_lag11,0.0017824091357494373
Gold_y_lag17,0.0017820260719193597
S&P_500_y_lag5,0.0017714669750504102
avg_dcc_z20_lag13,0.0017701500506120955
Wheat_x_lag19,0.0017518883048386158
Total_Spillover_z20_lag2,0.0017505653997323632
S&P_500_x_lag5,0.0017380218278897405
IEF_x_lag1,0.0016793489568724615
Wheat_x_lag7,0.0016771963570286351
avg_dcc_z20_lag9,0.0016499183735470086
Crude_Oil_x_lag5,0.0016213071113856418
Total_Spillover_z20_lag5,0.0015901380851763708
avg_dcc_z20_lag3,0.0015789071211442477
Total_Spillover_avg5_lag2,0.0015340162438846178
avg_dcc_avg22_lag7,0.0015206206698154979
Wheat_y_lag9,0.001515583204739436
Wheat_x_lag14,0.001506378496459442
Total_Spillover_avg22_lag20,0.001478755614426738
Total_Spillover_avg22_lag11,0.0014753202950691258
Natural_Gas_y_lag16,0.0014684949133784535
avg_dcc_chg1_lag17,0.001444499332078775
Total_Spillover_avg5_lag7,0.0014199924849835367
avg_dcc_avg22_lag12,0.001419891196862599
Total_Spillover_z20_lag10,0.0014106338747704456
avg_dcc_lag16,0.0014044565424781157
IEF_y_lag12,0.0013987327974480494
Crude_Oil_x_lag2,0.0013809864652900977
Natural_Gas_x_lag19,0.0013128905819454195
S&P_500_x_lag15,0.0013028779137503458
Natural_Gas_y_lag5,0.0013020385201639195
avg_dcc_avg5_lag1,0.001298939979482673
Natural_Gas_x_lag20,0.0012932004489104585
PBW_y_lag1,0.0012846549326334155
S&P_500_y_lag13,0.0012831374223423505
Wheat_y_lag20,0.00126658731767403
Gold_x_lag2,0.0012629451930288524
Natural_Gas_y_lag8,0.0012477632959689022
PBW_x_lag16,0.001228968236691147
Wheat_y_lag14,0.001188389702077935
avg_dcc_z20_lag2,0.0011732579548139816
avg_dcc_avg22_lag4,0.001170258261438109
Total_Spillover_z20_lag8,0.0011616662612053716
avg_dcc_lag1,0.001158391006065385
IEF_x_lag18,0.0011551047150563018
Natural_Gas_y_lag18,0.0011126797342826211
Wheat_y_lag12,0.001099328283676214
Total_Spillover_z20_lag12,0.001093484623221139
avg_dcc_lag19,0.0010781569276936884
S&P_500_y_lag18,0.001072981055346206
Crude_Oil_y_lag7,0.0010577974671687849
S&P_500_y_lag3,0.0010446798293095086
PBW_y_lag5,0.0010233722166303374
