feature,mean_abs_shap
Gold_x_lag3,0.09786437132918091
Gold_x_lag4,0.048117676300439935
S&P_500_x_lag11,0.04444717405819868
Gold_y_lag1,0.03197131603349834
avg_dcc_avg5_lag20,0.02711238559060549
avg_dcc_avg5_lag19,0.026073166825340676
Wheat_x_lag16,0.023540229338826178
Crude_Oil_x_lag14,0.022245527063112273
Gold_x_lag15,0.020982752183051977
Total_Spillover_avg5_lag6,0.02092945950580572
Gold_x_lag16,0.019434939627050226
Wheat_y_lag1,0.018452609162810617
IEF_x_lag7,0.017420388234787528
Gold_y_lag2,0.017410075706903134
avg_dcc_avg22_lag17,0.01698722227094384
Gold_x_lag1,0.01673333881269335
Gold_x_lag6,0.01587515928027128
PBW_x_lag11,0.015124185024389085
Gold_x_lag17,0.015048386144020369
avg_dcc_avg22_lag20,0.0149077970175117
Total_Spillover_z20_lag3,0.013784489833521069
S&P_500_x_lag8,0.013496950179801815
Wheat_x_lag15,0.013226981206037292
avg_dcc_z20_lag20,0.01293769333897193
Gold_x_lag5,0.012823794625235908
avg_dcc_lag2,0.011896664135369592
PBW_x_lag20,0.01138121391314784
Total_Spillover_z20_lag20,0.01103976602451004
Wheat_y_lag16,0.010489084665018305
IEF_y_lag14,0.010223612517731698
Total_Spillover_z20_lag14,0.009628174149199928
avg_dcc_avg22_lag13,0.009437614714546976
Wheat_y_lag7,0.0094161472910989
Natural_Gas_y_lag20,0.009378488629824587
Wheat_x_lag1,0.009187051790895566
PBW_x_lag6,0.009104731314687173
Natural_Gas_x_lag2,0.00833379261850646
IEF_y_lag6,0.008253763784238345
S&P_500_x_lag12,0.00810430991117737
Wheat_y_lag15,0.007872812973930493
avg_dcc_avg22_lag9,0.0077010954089187095
Total_Spillover_avg5_lag5,0.007698430834932506
S&P_500_y_lag4,0.007559695136624253
avg_dcc_avg22_lag16,0.0074254846109228865
avg_dcc_avg22_lag18,0.007401721005152508
IEF_y_lag18,0.00738324488367228
Total_Spillover_avg5_lag18,0.007249896393567393
PBW_x_lag15,0.007112545751030231
Crude_Oil_y_lag4,0.00695177219860119
avg_dcc_z20_lag8,0.006929583975535156
Natural_Gas_y_lag1,0.006880857300830805
Natural_Gas_x_lag12,0.006797424047667305
Crude_Oil_y_lag13,0.0065171016822235086
IEF_x_lag9,0.006470049401541379
S&P_500_x_lag5,0.006330394618269645
Wheat_y_lag19,0.0061546984396419
Total_Spillover_avg5_lag3,0.006117850497022131
S&P_500_x_lag20,0.006043758473928669
Gold_x_lag11,0.005986401256236418
Total_Spillover_avg5_lag7,0.005958453287824217
Total_Spillover_z20_lag13,0.005830307528543941
Total_Spillover_avg5_lag20,0.005625672552784488
avg_dcc_avg22_lag8,0.005495995207973656
Wheat_y_lag12,0.005483884482150552
Gold_x_lag19,0.005478938979849407
Crude_Oil_x_lag4,0.0054241971308147145
Gold_x_lag7,0.005390424985581274
avg_dcc_avg5_lag15,0.0052368558094243655
Gold_x_lag12,0.005140296974848749
PBW_x_lag19,0.0050519227061501405
PBW_x_lag17,0.0050373586098055164
IEF_y_lag7,0.004974601889326552
IEF_y_lag5,0.004903423332822601
avg_dcc_avg22_lag10,0.004817502243392476
Wheat_x_lag6,0.004690596781372025
avg_dcc_avg22_lag11,0.00465878883715608
Total_Spillover_avg5_lag19,0.0046041406164697195
Total_Spillover_z20_lag7,0.0045786153309844155
Crude_Oil_x_lag11,0.004520420855487194
Crude_Oil_x_lag10,0.00450543240313087
Gold_y_lag15,0.004372487269665757
Total_Spillover_avg5_lag2,0.004363021530025651
Crude_Oil_x_lag15,0.004188434062490762
PBW_y_lag7,0.004111870682100112
Wheat_y_lag9,0.004064597408818169
Wheat_y_lag8,0.00405576365597039
S&P_500_x_lag1,0.004055096069497664
IEF_x_lag2,0.003909623687026748
Total_Spillover_z20_lag6,0.0038300585545296716
Crude_Oil_x_lag12,0.0038086282326146373
IEF_x_lag18,0.003756711611034395
avg_dcc_avg5_lag7,0.0037073626852621453
Crude_Oil_x_lag5,0.0036879963969460466
Wheat_y_lag18,0.0036818864899946188
Natural_Gas_x_lag9,0.0036777828522114426
Natural_Gas_y_lag12,0.003615142212680725
Natural_Gas_y_lag10,0.00361263775111662
avg_dcc_avg22_lag5,0.003611315260733076
Gold_y_lag19,0.003608764232481975
PBW_x_lag13,0.0035616053322844892
Crude_Oil_y_lag6,0.003471668781006593
Wheat_x_lag5,0.003368346817701001
avg_dcc_z20_lag9,0.0033200730479322417
Wheat_y_lag14,0.003276804316403039
avg_dcc_z20_lag7,0.003219297646597191
Gold_y_lag17,0.0032110931066291312
avg_dcc_avg5_lag9,0.003185053926540426
avg_dcc_z20_lag11,0.0031822922409489524
Crude_Oil_y_lag7,0.0031772029781213865
Natural_Gas_x_lag4,0.00317605808262118
Total_Spillover_z20_lag4,0.0030511572279696697
Total_Spillover_z20_lag12,0.0029220964051754903
avg_dcc_avg5_lag13,0.002905487300137039
Natural_Gas_x_lag13,0.0029050161681857677
avg_dcc_z20_lag3,0.002898792830604014
Total_Spillover_z20_lag11,0.0028830991833308536
avg_dcc_z20_lag1,0.002845158387377443
avg_dcc_avg22_lag15,0.0028397785553611766
Wheat_x_lag19,0.002774571150916178
avg_dcc_avg22_lag14,0.0027389767968913517
IEF_y_lag2,0.002719782010329099
PBW_x_lag5,0.0027064489613886507
Gold_x_lag2,0.00267898933699718
Crude_Oil_y_lag17,0.002661924774921843
PBW_y_lag4,0.0025787321136703225
Natural_Gas_y_lag16,0.002575182458824773
avg_dcc_avg5_lag3,0.002562406499530843
S&P_500_x_lag6,0.0024538671736145153
PBW_y_lag15,0.002444761677287088
S&P_500_y_lag5,0.002362429107753603
PBW_x_lag16,0.0023547869271912042
avg_dcc_avg5_lag4,0.0023463295696870266
S&P_500_x_lag15,0.00232141822255223
PBW_x_lag12,0.002321218696929552
IEF_x_lag6,0.002316943857329813
S&P_500_y_lag10,0.0023147040449197943
avg_dcc_avg22_lag12,0.00225656749385348
avg_dcc_avg5_lag14,0.002237617692620151
Natural_Gas_y_lag8,0.0022371244125933202
Total_Spillover_avg22_lag19,0.002206901618779384
Crude_Oil_x_lag7,0.0022060952090683906
avg_dcc_avg22_lag7,0.0021588406360440442
Total_Spillover_z20_lag10,0.0021273575512537773
Total_Spillover_z20_lag8,0.0021179289065634006
S&P_500_x_lag16,0.0020960068506400706
Crude_Oil_x_lag17,0.0020372563226842486
Crude_Oil_x_lag8,0.002036953952176873
Gold_x_lag13,0.002005091600276374
Gold_y_lag3,0.001987425584313217
S&P_500_x_lag19,0.0019782540025642405
Natural_Gas_x_lag8,0.001963242452921865
IEF_y_lag1,0.0019591427572607572
IEF_y_lag4,0.0019485354481814457
avg_dcc_z20_lag4,0.0019470716402187976
Gold_y_lag14,0.001938006560630695
Wheat_x_lag13,0.0019333639332373578
IEF_x_lag17,0.0018644263536232342
IEF_y_lag15,0.0018482674420490393
IEF_x_lag1,0.0018394283505552337
avg_dcc_avg5_lag1,0.001810033850621094
Crude_Oil_y_lag10,0.0018030659459947172
Total_Spillover_avg5_lag8,0.0017928287327259437
avg_dcc_z20_lag15,0.0017699705275206516
PBW_y_lag17,0.0016761600288033476
Crude_Oil_x_lag20,0.001656723533838187
Total_Spillover_avg22_lag8,0.001647048508501804
avg_dcc_lag1,0.001634229784685742
PBW_x_lag7,0.0016177479895727064
Natural_Gas_y_lag5,0.0015882485511785136
Gold_y_lag6,0.0015737212667676797
Natural_Gas_y_lag18,0.001572942815818356
Wheat_y_lag20,0.0015639167182183963
Total_Spillover_avg5_lag11,0.0015523222164385599
Natural_Gas_x_lag19,0.0015332865155855474
