feature,mean_abs_shap
Gold_x_lag3,0.17687853820247823
Gold_x_lag4,0.07591763671295663
avg_dcc_avg5_lag19,0.05519292782900892
avg_dcc_avg22_lag16,0.0335499369305963
Gold_x_lag5,0.032661030267600685
Gold_x_lag1,0.030403398024829845
Wheat_x_lag16,0.030036140982310073
avg_dcc_avg22_lag17,0.026521221821192903
Gold_x_lag6,0.024150527183825373
Wheat_x_lag15,0.022726433753138833
Gold_x_lag15,0.0221916646187581
avg_dcc_avg22_lag9,0.02082606159392477
Gold_y_lag1,0.016768124439403172
Wheat_y_lag1,0.016609315749182688
Gold_x_lag16,0.016227681106233634
Total_Spillover_z20_lag14,0.015838750490399827
avg_dcc_avg22_lag13,0.015777284936940448
avg_dcc_avg5_lag20,0.015490656196420937
Gold_y_lag2,0.014229387861507285
IEF_x_lag7,0.013453581958102418
IEF_y_lag6,0.012579604836489297
avg_dcc_avg22_lag8,0.012577766875214119
PBW_x_lag15,0.011765872982127841
Gold_x_lag17,0.01169675858062541
avg_dcc_avg22_lag5,0.011645153777224809
avg_dcc_avg22_lag10,0.011260774223687913
PBW_x_lag20,0.010891059014407414
Gold_x_lag7,0.010758341776718743
Total_Spillover_z20_lag20,0.010625031770742857
Total_Spillover_z20_lag7,0.009934483975340185
Gold_y_lag17,0.009917819443692317
avg_dcc_avg22_lag15,0.009905282747720916
Crude_Oil_x_lag12,0.009613709027730346
avg_dcc_avg5_lag15,0.00932647321439049
S&P_500_x_lag11,0.008805721467549467
PBW_x_lag11,0.008715016974227389
avg_dcc_avg22_lag18,0.008620865896204997
Total_Spillover_z20_lag3,0.008544695078068387
avg_dcc_z20_lag20,0.008064074727009058
Crude_Oil_x_lag4,0.008001035333169051
avg_dcc_avg22_lag20,0.00779941326430767
Gold_y_lag15,0.007706250022384209
Natural_Gas_x_lag9,0.007188166584018893
Total_Spillover_avg5_lag5,0.007161535236052683
S&P_500_y_lag10,0.0070046464968821325
Crude_Oil_y_lag13,0.006846716349103136
Wheat_y_lag7,0.006827316899416522
Wheat_y_lag19,0.006747940841093755
Crude_Oil_y_lag17,0.006564073034912932
Gold_x_lag12,0.006245371968591842
avg_dcc_z20_lag8,0.006238829888834143
Wheat_y_lag18,0.006167954877603495
Natural_Gas_y_lag20,0.006035200879054206
IEF_y_lag5,0.005802706240986002
Natural_Gas_y_lag10,0.005774971432746728
avg_dcc_avg22_lag11,0.005498923789908401
S&P_500_x_lag8,0.0054573484500456786
IEF_y_lag2,0.005408921134325908
Wheat_x_lag19,0.005341519168955299
Total_Spillover_z20_lag13,0.005267012468124886
Gold_x_lag19,0.00524073266974222
Total_Spillover_z20_lag11,0.005204390259439793
Wheat_y_lag16,0.005121047043272394
PBW_x_lag12,0.00508797311691257
avg_dcc_avg22_lag12,0.005009704100318202
Natural_Gas_x_lag13,0.0050037355987881706
S&P_500_x_lag15,0.004919154247522067
avg_dcc_lag2,0.0048893070405434235
Natural_Gas_y_lag1,0.004533467470406624
IEF_x_lag2,0.004509996868437341
Crude_Oil_x_lag7,0.004501616570371149
Total_Spillover_z20_lag6,0.0045012673155158086
Crude_Oil_x_lag14,0.004343695071273216
Crude_Oil_y_lag4,0.00430006464733943
IEF_y_lag18,0.004295437935859601
PBW_x_lag19,0.004241148872637311
Gold_y_lag14,0.004238191125516409
Total_Spillover_z20_lag8,0.004209915577687707
Crude_Oil_x_lag8,0.00416807754163337
Gold_y_lag16,0.004130318965562377
S&P_500_y_lag5,0.004119197244120821
Wheat_x_lag1,0.004111327907888011
S&P_500_x_lag19,0.004064234623003989
Natural_Gas_x_lag19,0.004048086482041471
IEF_y_lag7,0.004033964823654881
avg_dcc_avg5_lag14,0.003932513752597997
Gold_x_lag11,0.003914241735837121
Natural_Gas_x_lag2,0.003891617065068105
Natural_Gas_y_lag8,0.0038717037093873624
IEF_y_lag4,0.0038411775012323224
S&P_500_y_lag13,0.003814384859103882
Total_Spillover_avg5_lag20,0.0038128265546272634
Total_Spillover_avg5_lag11,0.003811019451652829
IEF_x_lag9,0.0037856507321727753
IEF_y_lag16,0.0037797304273613688
PBW_y_lag5,0.00377412430330586
IEF_y_lag14,0.0037563325147744377
avg_dcc_avg22_lag4,0.003634133925455408
avg_dcc_lag1,0.0035879780298399186
IEF_y_lag1,0.003580890973478006
S&P_500_x_lag16,0.003483982211868284
Total_Spillover_avg5_lag6,0.003483054392478264
avg_dcc_avg22_lag7,0.0033778683029707167
Crude_Oil_x_lag20,0.0033312094736503307
Natural_Gas_y_lag18,0.0033072857259857265
Total_Spillover_z20_lag2,0.0032586641761949554
Natural_Gas_x_lag12,0.0031860304997459983
avg_dcc_avg5_lag9,0.0031537037864700244
avg_dcc_avg5_lag3,0.0030954260035246537
PBW_x_lag6,0.003089168587927948
Crude_Oil_x_lag5,0.002816542149303385
avg_dcc_lag19,0.0027280195898270127
IEF_x_lag1,0.002636651853994231
IEF_y_lag15,0.00261621296160785
Wheat_x_lag12,0.0025901504584709247
Wheat_y_lag8,0.0025809414257425534
Total_Spillover_avg5_lag2,0.0025700809494283716
Total_Spillover_avg22_lag19,0.00256497211452031
Wheat_y_lag15,0.002548874744228207
Crude_Oil_x_lag17,0.00250620186075531
Wheat_y_lag14,0.0024602992778258405
Total_Spillover_avg5_lag18,0.002382553620882268
PBW_x_lag17,0.0023106999631697933
avg_dcc_lag20,0.0023052209618635816
PBW_x_lag13,0.002297671116698758
Total_Spillover_avg22_lag20,0.002269163929449055
Total_Spillover_z20_lag12,0.002230724888235688
PBW_y_lag1,0.0022280548136904927
