feature,mean_abs_shap
Gold_x_lag3,0.12765314536938713
Gold_x_lag4,0.058511706022123876
Gold_x_lag15,0.03704487163026327
avg_dcc_avg5_lag19,0.031941133758867146
Gold_x_lag16,0.030292339590586713
Gold_y_lag1,0.02923939579023982
S&P_500_x_lag11,0.02273007380611935
avg_dcc_avg5_lag20,0.022417582194932825
Gold_x_lag5,0.02224352796098664
Gold_x_lag17,0.021843734452690465
Gold_x_lag6,0.021048612664753597
Gold_y_lag2,0.01858860750546659
Wheat_x_lag16,0.018328041027963572
Gold_x_lag1,0.017868978315942318
avg_dcc_avg22_lag20,0.017679422352694468
Wheat_y_lag1,0.016847085567286115
Gold_x_lag7,0.016514837957583177
Crude_Oil_x_lag14,0.015238103452623311
Total_Spillover_avg5_lag6,0.014521610012649405
avg_dcc_avg22_lag16,0.014021426511135545
avg_dcc_avg22_lag17,0.01392829674269216
avg_dcc_avg22_lag9,0.013758160085244931
Wheat_x_lag15,0.011952110889188343
avg_dcc_z20_lag20,0.011786229227274101
Total_Spillover_avg5_lag5,0.011681858917026678
avg_dcc_avg22_lag13,0.011233318730776454
Wheat_y_lag16,0.01114983548662608
Wheat_y_lag7,0.0105915070067464
Gold_x_lag12,0.010072952764969494
Total_Spillover_z20_lag14,0.009894192976565654
PBW_x_lag20,0.009697022698172955
S&P_500_x_lag8,0.00960322065478518
Total_Spillover_z20_lag20,0.009542373988557612
Wheat_y_lag15,0.009149133074499749
Total_Spillover_z20_lag3,0.009126261233426695
PBW_x_lag11,0.009054134903762596
IEF_y_lag6,0.009032074444966938
Gold_x_lag19,0.00889638157498633
Crude_Oil_y_lag13,0.008701474555219453
avg_dcc_lag2,0.008240402742571547
S&P_500_x_lag12,0.008211984125262787
PBW_x_lag6,0.00791420990366441
Crude_Oil_x_lag12,0.007878180376770148
avg_dcc_avg22_lag8,0.007591535830633455
PBW_x_lag15,0.0075694630275712415
Crude_Oil_y_lag4,0.007544715101317797
Wheat_y_lag19,0.0075096689677278524
IEF_y_lag14,0.007283366357953549
Crude_Oil_x_lag11,0.006988474583990604
IEF_x_lag7,0.006924351570309887
avg_dcc_avg5_lag15,0.006784671643652878
IEF_y_lag18,0.006435175461062132
avg_dcc_z20_lag8,0.006419390903688655
avg_dcc_avg22_lag10,0.006379129530983567
Natural_Gas_x_lag2,0.006244304308644738
Total_Spillover_z20_lag7,0.006170775091117776
Crude_Oil_x_lag10,0.006053237362897903
avg_dcc_avg22_lag18,0.005884018871550158
Crude_Oil_x_lag4,0.005500177046796522
Gold_y_lag17,0.005391590245626457
Wheat_y_lag18,0.005348357564279645
Wheat_x_lag1,0.005129457119273423
avg_dcc_avg22_lag5,0.005040232992177338
Total_Spillover_z20_lag13,0.005007146148994629
Total_Spillover_avg5_lag18,0.004817868517428742
Natural_Gas_y_lag20,0.004712892228388152
IEF_y_lag5,0.004695970377924898
avg_dcc_avg22_lag11,0.0046046091527145545
PBW_x_lag17,0.004592213084777756
Natural_Gas_x_lag12,0.004586703753120247
avg_dcc_avg22_lag15,0.004579508643034031
Natural_Gas_x_lag9,0.004483492438307782
Gold_y_lag15,0.0044492321355395735
IEF_y_lag2,0.004426730120105788
Natural_Gas_x_lag13,0.0043920473861823565
Total_Spillover_z20_lag11,0.004301930666124613
Total_Spillover_avg5_lag20,0.0042864640951968454
Wheat_y_lag8,0.004247350205980841
Natural_Gas_y_lag1,0.004218148754325905
Gold_x_lag11,0.004113562425837559
Total_Spillover_avg5_lag3,0.00405133823180325
PBW_x_lag19,0.004043499550645323
PBW_x_lag13,0.003985929455634811
S&P_500_y_lag10,0.003917853345821487
Wheat_x_lag19,0.00388021931753125
PBW_x_lag12,0.0038501794524238675
Natural_Gas_y_lag10,0.003831468777842895
Total_Spillover_avg5_lag7,0.0037756193730059456
Total_Spillover_avg22_lag19,0.0037160787845859243
IEF_y_lag7,0.003500973504314238
Total_Spillover_z20_lag4,0.003472182487929663
IEF_y_lag15,0.00344943384069332
S&P_500_y_lag4,0.0034068087196577764
avg_dcc_avg5_lag14,0.0034033612844573046
Crude_Oil_y_lag17,0.0033227203457934784
S&P_500_x_lag1,0.0032671093191034345
avg_dcc_avg5_lag13,0.0032571852349128597
Natural_Gas_x_lag19,0.0032137647563898566
PBW_y_lag7,0.0031877324731729943
Wheat_y_lag12,0.0031841224778621988
IEF_x_lag2,0.0031335717507433017
S&P_500_x_lag20,0.0031241204881879443
Total_Spillover_z20_lag6,0.003098117896925846
Total_Spillover_avg5_lag2,0.0030782065588887838
Wheat_y_lag9,0.003070139122456913
avg_dcc_z20_lag11,0.0030219034413456808
avg_dcc_z20_lag9,0.003002978029733059
Crude_Oil_y_lag6,0.002958606609730914
Natural_Gas_y_lag8,0.002915284070183188
Natural_Gas_y_lag16,0.002901663494456643
Total_Spillover_avg5_lag19,0.0028920439122803133
avg_dcc_avg22_lag12,0.002853328449147871
Crude_Oil_x_lag5,0.0028390982473848634
Crude_Oil_x_lag7,0.0027808655420792504
Wheat_y_lag14,0.0027411983977971453
PBW_y_lag4,0.0027239744555147753
Gold_x_lag9,0.002720117399108742
S&P_500_y_lag5,0.002714579838443927
Total_Spillover_z20_lag12,0.00271074776254774
S&P_500_x_lag5,0.0027080785506465093
avg_dcc_avg5_lag9,0.002676988707854586
Gold_y_lag19,0.002649396491239614
Crude_Oil_x_lag15,0.0025538174032585345
Total_Spillover_z20_lag8,0.002548643718994756
Total_Spillover_z20_lag2,0.002543104610922804
Gold_y_lag14,0.0024544628613923578
S&P_500_x_lag16,0.0024439675965825
