feature,mean_abs_shap
Gold_x_lag3,0.14108888298964795
Gold_x_lag4,0.05479192590004069
avg_dcc_avg22_lag16,0.03868719953961227
Gold_y_lag1,0.03067379261367688
avg_dcc_avg5_lag19,0.030354551561431888
Wheat_x_lag16,0.03018799306953805
avg_dcc_avg22_lag9,0.028244404137843786
Gold_x_lag5,0.026256782235639736
Gold_x_lag1,0.025608766598627958
Wheat_x_lag15,0.024971146134419007
avg_dcc_avg22_lag13,0.02197046351567477
Gold_x_lag6,0.020874907348689242
avg_dcc_avg5_lag20,0.02084586734629456
Gold_x_lag15,0.01910059590221819
Gold_x_lag16,0.016898588948105375
avg_dcc_avg22_lag10,0.016696615410288235
Gold_y_lag2,0.016423538771038117
Wheat_y_lag1,0.01629634964766461
avg_dcc_avg22_lag15,0.014342133978970106
avg_dcc_avg22_lag17,0.013292027887402105
Total_Spillover_z20_lag14,0.012959849150189332
Gold_x_lag7,0.012103389580070309
avg_dcc_avg22_lag8,0.011907125986477996
avg_dcc_z20_lag20,0.011892406974660027
avg_dcc_avg22_lag5,0.011421246679675574
Gold_x_lag17,0.01109970771125736
PBW_x_lag20,0.010752760014582525
Crude_Oil_x_lag12,0.00985083519370384
avg_dcc_avg5_lag15,0.009667653509984293
avg_dcc_avg22_lag20,0.009650597670584774
S&P_500_x_lag11,0.00944109072497629
Wheat_y_lag19,0.008444562131848292
Total_Spillover_avg5_lag5,0.008325252726484057
Total_Spillover_z20_lag3,0.008306919415931641
avg_dcc_z20_lag8,0.0082001045625178
S&P_500_x_lag8,0.008156768927853348
Crude_Oil_y_lag13,0.008146474671138668
PBW_x_lag15,0.008109956897635688
PBW_x_lag11,0.008055815440367717
IEF_y_lag6,0.007875760646081007
Crude_Oil_y_lag17,0.00784538482000271
Crude_Oil_x_lag4,0.007715979743529174
Wheat_y_lag7,0.007684915325170894
Natural_Gas_x_lag2,0.007331816430758819
Crude_Oil_y_lag4,0.007325195588435768
Gold_y_lag15,0.007178913326045293
Total_Spillover_z20_lag20,0.006947508280776883
Wheat_y_lag18,0.006897499338095274
avg_dcc_lag2,0.006758124973839921
Wheat_y_lag16,0.006666912011498696
avg_dcc_avg22_lag18,0.006556819073871549
Gold_x_lag19,0.006513437344989704
IEF_x_lag7,0.006468523736620709
Crude_Oil_x_lag14,0.006386093585742954
Gold_y_lag17,0.00638162338692925
IEF_y_lag18,0.006252410038300916
IEF_y_lag5,0.00620385494032965
IEF_y_lag14,0.006188751658450729
avg_dcc_avg22_lag11,0.006027694494408748
Gold_x_lag12,0.005748173440741033
Crude_Oil_x_lag7,0.005659917350198184
Total_Spillover_z20_lag13,0.005475058335861478
Total_Spillover_avg5_lag20,0.005469335990538588
Natural_Gas_x_lag12,0.005424006595363381
avg_dcc_avg22_lag7,0.005160205742871103
Total_Spillover_avg5_lag6,0.005025218859635667
Natural_Gas_y_lag1,0.004914309210501055
Total_Spillover_z20_lag7,0.00485754384135288
IEF_y_lag7,0.004713858749420379
Natural_Gas_x_lag13,0.0044819555328880255
avg_dcc_avg5_lag14,0.004361717483453408
S&P_500_x_lag19,0.004319615696044554
avg_dcc_avg5_lag9,0.00418032830342865
Wheat_y_lag15,0.00414681603345721
Total_Spillover_avg5_lag11,0.004117784514153897
Crude_Oil_x_lag20,0.00409674161918587
Crude_Oil_x_lag8,0.004065345988834474
Natural_Gas_x_lag9,0.004039340107806974
Natural_Gas_y_lag20,0.003935282125654557
IEF_x_lag1,0.003902516618041866
PBW_y_lag1,0.003898812421523973
Total_Spillover_z20_lag11,0.003889826478617138
PBW_x_lag6,0.0038362129606301894
Wheat_x_lag1,0.0038105358392181805
PBW_x_lag19,0.003791892603168478
Wheat_y_lag8,0.0037793311485572064
IEF_x_lag2,0.0037700470791252544
S&P_500_y_lag10,0.003731366226913699
PBW_x_lag17,0.003708383850989874
IEF_y_lag1,0.0036832564065092128
Total_Spillover_avg22_lag19,0.0036684793652514546
avg_dcc_avg22_lag4,0.0036313767347415623
PBW_x_lag13,0.003577920893048243
Gold_x_lag11,0.003501955893244564
avg_dcc_z20_lag3,0.0034777758729664485
S&P_500_y_lag5,0.003439242204158915
Total_Spillover_avg5_lag3,0.0033876669302683004
Total_Spillover_avg5_lag18,0.003275805568575125
Total_Spillover_z20_lag4,0.0032575082057096556
S&P_500_x_lag16,0.0032474188708859894
PBW_x_lag12,0.0032203876703185345
Wheat_y_lag12,0.0030712494821780916
Crude_Oil_x_lag17,0.0030524249054522854
avg_dcc_z20_lag9,0.0030513322266986255
avg_dcc_avg22_lag12,0.0029757068678979664
avg_dcc_avg5_lag13,0.002942732458552618
PBW_x_lag5,0.0029058333032545873
S&P_500_x_lag12,0.0029034213869295494
Total_Spillover_z20_lag6,0.002870059721355705
avg_dcc_lag19,0.0028450539302054055
IEF_y_lag15,0.0028239475657677823
avg_dcc_z20_lag7,0.002802966584401603
S&P_500_x_lag15,0.0027766475076154867
Crude_Oil_x_lag5,0.002773422534877808
PBW_y_lag4,0.002768942080842952
Wheat_y_lag9,0.002664422839137401
avg_dcc_avg5_lag3,0.0026591891458608826
Natural_Gas_x_lag19,0.0026533540227487726
Gold_y_lag16,0.002622371930159629
Wheat_x_lag19,0.002605329530631756
Total_Spillover_z20_lag12,0.0025933946214513016
Crude_Oil_x_lag10,0.002587930970629194
Crude_Oil_y_lag6,0.0025829061508235497
