Asset,N_train,N_test,EventRate_test,ROC_AUC,PR_AUC,PR_baseline,Balanced_ACC
Crude_Oil,725,241,0.06639004149377593,0.4463888888888889,0.09920283827994365,0.06639004149377593,0.5
Gold,725,241,0.04149377593360996,0.3502164502164502,0.0329678008747615,0.04149377593360996,0.5
IEF,725,241,0.0954356846473029,0.46051057040287197,0.09186545135369675,0.0954356846473029,0.5
Natural_Gas,725,241,0.1037344398340249,0.478888888888889,0.1405854499098422,0.1037344398340249,0.5
PBW,725,241,0.1078838174273859,0.5475849731663686,0.1532974296480487,0.1078838174273859,0.5
S&P_500,725,241,0.03319502074688797,0.6099785407725322,0.057925932210219085,0.03319502074688797,0.5
Wheat,725,241,0.058091286307053944,0.514159848961611,0.06061349244810067,0.058091286307053944,0.5
