Asset,fold,train_end,val_start,val_end,test_start,test_end,Base_RMSE,Base_MAE,Base_R2,Base_DirChange,XGB_RMSE,XGB_MAE,XGB_R2,XGB_DirChange,LGB_RMSE,LGB_MAE,LGB_R2,LGB_DirChange
Wheat,1,2018-04-23,2018-04-30,2019-07-02,2019-07-10,2020-09-11,2.0309577682700577,1.3627133329072434,0.04783753804970736,0.576271186440678,2.000075074290725,1.3034250584172955,0.07657449549222073,0.4915254237288136,2.032653505818997,1.3667717345649897,0.046246868147136744,0.576271186440678
Wheat,2,2019-07-02,2019-07-10,2020-09-11,2020-09-18,2021-11-18,1.1375940347297224,0.8955944195624923,0.3910312450159602,0.5932203389830508,1.6873343947833392,1.3195269805079695,-0.33974676448262775,0.576271186440678,1.4752581637243212,1.1803642688373306,-0.024133214853437446,0.5423728813559322
Wheat,3,2020-09-11,2020-09-18,2021-11-18,2021-11-26,2023-01-31,2.5071157178933103,2.0064918612314937,0.5840518578957774,0.5254237288135594,2.394371655111395,1.891506493508135,0.6206207664512238,0.4406779661016949,2.5258483127034808,2.0254348917733425,0.5778128979781623,0.5423728813559322
Wheat,4,2021-11-18,2021-11-26,2023-01-31,2023-02-07,2024-04-11,2.2630859809776265,1.9683221198218652,0.2411278981048962,0.5932203389830508,3.6422683715551205,2.974301047013685,-0.9656688877050346,0.5932203389830508,3.2875351914971365,2.7742746885179175,-0.601427564614144,0.559322033898305
Wheat,5,2023-01-31,2023-02-07,2024-04-11,2024-04-18,2025-06-24,1.6177910594253575,1.3286013631527764,-0.6342811073707588,0.4745762711864407,1.6009764710391932,1.3391225892365841,-0.6004856949778161,0.4576271186440678,1.627478569712987,1.3331828236088732,-0.6539122175423799,0.4745762711864407
