feature,mean_abs_shap,n_obs
Natural_Gas_x_lag19,0.0,969
Natural_Gas_x_lag20,0.0,969
Natural_Gas_y_lag1,0.006499898,969
Natural_Gas_y_lag2,0.0,969
Natural_Gas_y_lag3,0.0,969
Natural_Gas_y_lag4,0.0012959392,969
Natural_Gas_y_lag5,0.0,969
Natural_Gas_y_lag6,0.0,969
Natural_Gas_y_lag7,0.0,969
Natural_Gas_y_lag8,0.0,969
Natural_Gas_y_lag9,0.0,969
Natural_Gas_y_lag10,0.000822715,969
Natural_Gas_y_lag11,0.0,969
Natural_Gas_y_lag12,0.0,969
Natural_Gas_y_lag13,0.0,969
Natural_Gas_y_lag14,0.0,969
Natural_Gas_y_lag15,0.0,969
Natural_Gas_y_lag16,0.00039421537,969
Natural_Gas_y_lag17,0.0,969
Natural_Gas_y_lag18,0.0,969
Natural_Gas_y_lag19,0.0024273032,969
Natural_Gas_y_lag20,0.0,969
Crude_Oil_x_lag1,0.0,969
Crude_Oil_x_lag2,0.0,969
Crude_Oil_x_lag3,0.0,969
Crude_Oil_x_lag4,0.0,969
Crude_Oil_x_lag5,0.0,969
Crude_Oil_x_lag6,0.0,969
Crude_Oil_x_lag7,0.0,969
Crude_Oil_x_lag8,0.0,969
Crude_Oil_x_lag9,0.0010553855,969
Crude_Oil_x_lag10,0.0,969
Crude_Oil_x_lag11,0.016312366,969
Crude_Oil_x_lag12,0.0,969
Crude_Oil_x_lag13,0.0,969
Crude_Oil_x_lag14,0.0,969
Crude_Oil_x_lag15,0.0011312447,969
Crude_Oil_x_lag16,0.0022119638,969
Crude_Oil_x_lag17,0.004317515,969
Crude_Oil_x_lag18,0.0,969
Crude_Oil_x_lag19,0.0053040544,969
Crude_Oil_x_lag20,0.0,969
Crude_Oil_y_lag1,0.0,969
Crude_Oil_y_lag2,0.0,969
Crude_Oil_y_lag3,0.0,969
Crude_Oil_y_lag4,0.0,969
Crude_Oil_y_lag5,0.0,969
Crude_Oil_y_lag6,0.0,969
Crude_Oil_y_lag7,0.0015163786,969
Crude_Oil_y_lag8,0.0,969
Crude_Oil_y_lag9,0.0,969
Crude_Oil_y_lag10,0.0,969
Crude_Oil_y_lag11,0.0,969
Crude_Oil_y_lag12,0.0,969
Crude_Oil_y_lag13,0.0,969
Crude_Oil_y_lag14,0.0,969
Crude_Oil_y_lag15,0.0,969
Crude_Oil_y_lag16,0.00022902389,969
Crude_Oil_y_lag17,0.0,969
Crude_Oil_y_lag18,0.0,969
Crude_Oil_y_lag19,0.0010465268,969
Crude_Oil_y_lag20,0.0005674037,969
PBW_x_lag1,0.0,969
PBW_x_lag2,0.0017698648,969
PBW_x_lag3,0.0,969
PBW_x_lag4,0.00021265494,969
PBW_x_lag5,0.0023582226,969
PBW_x_lag6,0.0,969
PBW_x_lag7,0.0,969
PBW_x_lag8,0.0,969
PBW_x_lag9,0.0,969
PBW_x_lag10,0.0,969
PBW_x_lag11,0.0,969
PBW_x_lag12,0.0,969
PBW_x_lag13,0.0,969
PBW_x_lag14,0.0,969
