from\to,Low,Med,High
Low,0.9969851031437694,0.0019226461722913987,0.0010922506839391053
Med,0.005598003741409513,0.9866315212476242,0.007770475010966271
High,0.002285055333784867,0.005450535784463767,0.9922644088817515
