Date,P(High),P(Med),P(Low)
2008-09-18,0.332110,0.317128,0.351154
2008-09-25,0.317113,0.347950,0.335297
2008-10-02,0.347951,0.332237,0.320155
2008-10-09,0.332238,0.323185,0.350856
2008-10-16,0.317234,0.347798,0.335012
2008-10-23,0.348067,0.332092,0.319883
2008-10-30,0.332349,0.361669,0.350596
2008-11-06,0.317341,0.345921,0.334764
2008-11-13,0.348168,0.330300,0.319647
2008-11-20,0.332446,0.360541,0.350370
2008-11-28,0.317433,0.344261,0.334548
2008-12-05,0.348257,0.328715,0.319441
2008-12-12,0.332530,0.359029,0.350173
2008-12-19,0.317513,0.342815,0.334360
2008-12-29,0.348333,0.327335,0.319261
2009-01-06,0.332603,0.357709,0.350002
2009-01-13,0.317583,0.341555,0.334197
2009-01-21,0.348400,0.326133,0.319105
2009-01-28,0.332667,0.356512,0.349853
2009-02-04,0.317644,0.340412,0.334054
2009-02-11,0.348458,0.325092,0.318969
2009-02-19,0.332723,0.354909,0.349723
2009-02-26,0.317697,0.338881,0.333930
2009-03-05,0.348509,0.324240,0.318850
2009-03-12,0.332771,0.348975,0.349610
2009-03-19,0.317744,0.333216,0.333822
2009-03-26,0.348553,0.323949,0.318747
2009-04-02,0.332813,0.337533,0.349512
2009-04-09,0.317784,0.322290,0.333728
2009-04-17,0.348591,0.324682,0.318658
2009-04-24,0.332850,0.322508,0.349426
2009-05-01,0.317819,0.307944,0.333646
2009-05-08,0.348625,0.326708,0.318580
2009-05-15,0.332882,0.316203,0.349339
2009-05-22,0.317849,0.301924,0.333576
2009-06-01,0.348654,0.329199,0.318512
2009-06-08,0.332910,0.314959,0.348822
2009-06-15,0.317876,0.300736,0.333535
2009-06-22,0.348679,0.331688,0.318473
2009-06-29,0.332934,0.316728,0.331799
2009-07-07,0.317899,0.302425,0.334266
2009-07-14,0.348701,0.333908,0.319171
2009-07-21,0.332955,0.318829,0.325336
2009-07-28,0.317919,0.304431,0.335225
2009-08-04,0.348720,0.335842,0.320086
2009-08-11,0.332973,0.320676,0.305632
2009-08-18,0.317937,0.306195,0.336988
2009-08-25,0.348737,0.337526,0.321770
2009-09-01,0.332990,0.322284,0.307240
2009-09-09,0.317952,0.307730,0.338524
2009-09-16,0.348752,0.338992,0.323237
2009-09-23,0.333003,0.323683,0.308641
2009-09-30,0.317965,0.309066,0.339860
2009-10-07,0.348764,0.340268,0.324513
2009-10-14,0.333017,0.324902,0.310296
2009-10-21,0.317979,0.310230,0.341004
2009-10-28,0.348775,0.341379,0.325605
2009-11-04,0.333029,0.325963,0.339376
