Asset,N_test,EventRate_test,Tau,ROC_AUC,PR_AUC,Prec@Tau,Rec@Tau,Alerts_%,AnnRet_Strategy,AnnVol_Strategy,Sharpe_Strategy,MaxDD_Strategy,AnnRet_BH,AnnVol_BH,Sharpe_BH,MaxDD_BH,Ret_Lift_pp,DD_Reduction_pp
Crude_Oil,241,0.06639004149377593,0.033290298860755255,0.4463888888888889,0.09920283827994365,0.05223880597014925,0.4375,55.601659751037346,-0.46592036750496735,0.334470384858938,-1.8752342659033616,-0.48684820534462914,-0.6099242077398374,0.41257061452658067,-2.281825671688919,-0.6032670156890735,14.400384023487,-11.641881034444435
Gold,241,0.04149377593360996,0.11180466568262823,0.3502164502164502,0.0329678008747615,0.0,0.0,0.0,-0.034807275930926806,0.15335247751379744,-0.2310199619627679,-0.1234603496752702,-0.034807275930926806,0.15335247751379744,-0.2310199619627679,-0.1234603496752702,0.0,0.0
IEF,241,0.0954356846473029,0.02173073785884711,0.46051057040287197,0.09186545135369675,0.08771929824561403,0.43478260869565216,47.30290456431535,-0.07173268805000665,0.052605483320756125,-1.4149767534828965,-0.09124406710561828,-0.10741168261954748,0.07726439803051989,-1.4706620134548931,-0.10985133235009525,3.5678994569540823,-1.8607265244476978
Natural_Gas,241,0.1037344398340249,0.05691873177793491,0.478888888888889,0.1405854499098422,0.1092436974789916,0.52,49.37759336099585,1.8822014459394594,0.4990496766439113,2.121140324586159,-0.19920964114789574,2.9658046782417835,0.7010494144296816,1.9652092298644739,-0.3474443122393004,-108.36032323023241,-14.823467109140465
PBW,241,0.1078838174273859,0.05719899856823711,0.5475849731663686,0.1532974296480487,0.25,0.038461538461538464,1.6597510373443984,-0.2878336912255326,0.4229103276075345,-0.8026378003737203,-0.49454841430292396,-0.3125113997307065,0.42500561955136207,-0.8816590034760292,-0.513854090146966,2.4677708505173923,-1.930567584404208
S&P_500,241,0.03319502074688797,0.03988681401811519,0.6099785407725322,0.057925932210219085,0.04580152671755725,0.75,54.356846473029044,0.01678100524521442,0.10693713383519614,0.15562189864614362,-0.13593809605694707,-0.002730656847494184,0.16779194289055002,-0.01629632415456916,-0.1679042183122056,1.9511662092708604,-3.1966122255258522
Wheat,241,0.058091286307053944,0.0331592334081296,0.514159848961611,0.06061349244810067,0.02702702702702703,0.14285714285714285,30.70539419087137,-0.23431140382906301,0.2714861474647297,-0.9834009094215581,-0.3062085197749599,-0.3797761628419797,0.3158524250395358,-1.5123355103694125,-0.413223048226513,14.546475901291666,-10.701452845155313
