Asset,OOS_R2,N_test,AUC_drawdown,ACC_drawdown
Crude_Oil,-0.016885020120927186,241,0.4461111111111111,0.9336099585062241
Gold,-0.005052936814560649,241,0.35194805194805195,0.9585062240663901
IEF,-0.005459207518298648,241,0.45971280414838456,0.9045643153526971
Natural_Gas,-0.014599791056249423,241,0.4788888888888889,0.8962655601659751
PBW,0.007490121596152921,241,0.5475849731663686,0.8921161825726142
S&P_500,0.015055948923270668,241,0.6121244635193133,0.966804979253112
Wheat,0.0023006975605217583,241,0.5138451856513531,0.941908713692946
