Asset,N,train,val,test,Baseline_RMSE,Baseline_MAE,Baseline_R2,Baseline_DirChange,XGBres_RMSE,XGBres_MAE,XGBres_R2,XGBres_DirChange
Crude_Oil,923,668,117,138,2.149509490848134,1.7254808939535928,0.27472663077376624,0.45985401459854014,3.3080350211198137,2.775421392143237,-0.7177628042232889,0.45985401459854014
Gold,923,668,117,138,1.8752466526228078,1.401480293034681,0.16869823284900765,0.49635036496350365,2.1749780823939027,1.617056042725705,-0.11828287834919693,0.5547445255474452
IEF,923,668,117,138,1.7496677756838002,1.4560517669902713,0.4199582264167616,0.4306569343065693,2.8035264150125174,2.251636116186467,-0.48921495887989086,0.45255474452554745
Natural_Gas,923,668,117,138,1.6495112296096188,1.392083579549598,0.04210313827855683,0.5766423357664233,1.7413931553567656,1.4267094446505248,-0.06758352628389175,0.5693430656934306
PBW,923,668,117,138,1.8033040183767874,1.4237659271502192,0.14701293863418485,0.41605839416058393,1.8575330585486336,1.5251681910549508,0.09493942748908057,0.43795620437956206
SandP_500,923,668,117,138,2.0264771157491586,1.462296109281298,0.40741211961669277,0.46715328467153283,2.3161859761564627,1.7968305787804557,0.22586587365165878,0.44525547445255476
Wheat,923,668,117,138,1.944074429613476,1.6464097566042966,0.4634620279436438,0.5182481751824818,2.809609760377178,2.174225205070728,-0.12064147898653177,0.49635036496350365
