Asset,fold,train_end,val_start,val_end,test_start,test_end,Base_RMSE,Base_MAE,Base_R2,Base_DirChange,XGB_RMSE,XGB_MAE,XGB_R2,XGB_DirChange,LGB_RMSE,LGB_MAE,LGB_R2,LGB_DirChange
Gold,1,2018-04-23,2018-04-30,2019-07-02,2019-07-10,2020-09-11,3.1510239910187274,2.545035440558569,-0.9726723804187114,0.4915254237288136,3.0144998478789553,2.478188655463105,-0.8054359130168898,0.5932203389830508,3.1695839641199104,2.5616395415533066,-0.9959794536287285,0.4745762711864407
Gold,2,2019-07-02,2019-07-10,2020-09-11,2020-09-18,2021-11-18,3.4277821109745226,2.339895345621933,-0.15052623322431447,0.6101694915254238,3.3160019092888318,2.608840202680996,-0.07671224836611801,0.559322033898305,3.444654046865379,2.806333251027756,-0.16188015088194718,0.5423728813559322
Gold,3,2020-09-11,2020-09-18,2021-11-18,2021-11-26,2023-01-31,1.559044158319208,1.2272393549148477,-0.6257409300836527,0.3559322033898305,1.8647408507306427,1.4087561281049799,-1.3257952388317427,0.4576271186440678,1.963263623108681,1.5306688603388396,-1.5780524371733273,0.423728813559322
Gold,4,2021-11-18,2021-11-26,2023-01-31,2023-02-07,2024-04-11,1.5966854520152787,1.1792007294845324,-0.03296366653936511,0.4915254237288136,2.053982475207933,1.372645786264142,-0.7093845604408087,0.4915254237288136,1.6081276282752517,1.1859629461428443,-0.04782157394036646,0.4915254237288136
Gold,5,2023-01-31,2023-02-07,2024-04-11,2024-04-18,2025-06-24,2.2943578883305236,1.7956596040208583,-1.8165722625595926,0.559322033898305,2.785776249563186,2.2025126628128864,-3.1523221044526233,0.6101694915254238,2.5347903030486636,1.951350028597617,-2.437816142392549,0.5254237288135594
