,S&P_500,IEF,Gold,Wheat,Natural_Gas,Crude_Oil,PBW
count,969.0,969.0,969.0,969.0,969.0,969.0,969.0
mean,7.043130923598458,-2.6081311653617045,-3.70073260234877,-2.8309728732798654,-2.209002128230295,-0.2163682737366698,4.522076119358848
std,5.352645770444745,4.1060697286449335,3.2906525012593226,2.622157580616358,2.479477842529191,3.540719092250877,3.4812075203589874
min,-3.855614191394608,-12.264617891302803,-12.823967094121857,-11.243102594737678,-9.88652280857312,-7.439641698394226,-2.6646644820511085
25%,3.2915240342090044,-5.777909751986499,-5.996978693442131,-4.132103165425633,-3.890622422347846,-2.6663482626823054,2.170853848860162
50%,5.421991525230737,-2.41518407476741,-3.599116655012466,-2.578963915307071,-2.033862379139123,-0.939118508173138,4.25638255440613
75%,10.791673675156972,0.7794616335037574,-1.295657936744348,-1.0412270236386831,-0.4742551698937802,2.2598636059182837,6.4524876755923515
max,21.73792624115052,6.952756535223216,5.514305410773403,6.558091184265223,5.1647537752817385,12.707382440716906,15.628907870873604
