,S&P_500,IEF,Gold,Wheat,Natural_Gas,Crude_Oil,PBW
count,969.0,969.0,969.0,969.0,969.0,969.0,969.0
mean,44.55386229120635,27.947059184960043,20.667434606736975,11.900162984546283,9.472605756453756,27.636891579727873,43.67662812291273
std,10.378012933785811,12.76585824424643,7.695932245245203,9.60852727712956,6.202235081859787,13.68923352971329,9.805788107280254
min,21.151580665152025,1.3449339378868217,5.6920016581262445,1.6212639144101215,0.5826085101047624,3.864811286061993,20.757142256910782
25%,37.08619812106242,18.74150416521401,14.576956951962288,4.945079191748647,5.052677613459821,18.453541287899753,36.38673869438329
50%,43.995094712244,28.56160761998629,19.28226744608898,8.249718921393168,7.477337297891566,23.125129870843367,43.50100203979658
75%,52.18467503355983,37.08157136813634,27.567551905072833,16.593428798225204,12.25870614493256,38.07495599810877,52.63844424552064
max,62.96122869854791,53.62529498660463,44.51432506915865,41.98312464925856,31.77646192612265,55.95272244294968,62.07317202314993
