fold,train_start,train_end,val_start,val_end,test_start,test_end,Base_RMSE,Base_MAE,Base_R2,Base_DirChange,XGB_RMSE,XGB_MAE,XGB_R2,XGB_DirChange,LGB_RMSE,LGB_MAE,LGB_R2,LGB_DirChange
1,2007-02-16,2018-04-23,2018-04-30,2019-07-02,2019-07-10,2020-09-11,2.647275030573567,2.1165625820494847,-0.45818048778240006,0.4915254237288136,1.74641354830128,1.2951402714512408,0.36538937413612416,0.4915254237288136,2.26022760098415,1.7773147109763927,-0.06296142437416541,0.5423728813559322
2,2007-02-16,2019-07-02,2019-07-10,2020-09-11,2020-09-18,2021-11-18,4.422252732122221,2.8208883455920786,0.5530097306151528,0.5084745762711864,3.2527849551949903,1.8358881937090985,0.7581636071922837,0.5254237288135594,3.4738691936837367,2.0284235588724955,0.724172302681234,0.5254237288135594
3,2007-02-16,2020-09-11,2020-09-18,2021-11-18,2021-11-26,2023-01-31,2.3833137104320863,2.0234703302434798,0.28839910174029526,0.5423728813559322,2.2137319080273774,1.7446518906228432,0.3860625659982031,0.4745762711864407,1.8122711871626653,1.4275659850998716,0.5885468074500668,0.559322033898305
4,2007-02-16,2021-11-18,2021-11-26,2023-01-31,2023-02-07,2024-04-11,2.5864687929511128,2.060495484907142,0.48927446210083925,0.576271186440678,1.8990809121632533,1.511159644726233,0.7246658845647754,0.4576271186440678,1.8365464344026587,1.4875069990889103,0.742500188438957,0.5084745762711864
5,2007-02-16,2023-01-31,2023-02-07,2024-04-11,2024-04-18,2025-06-24,1.6914803236874956,1.3230002945063963,-1.116691973021259,0.4067796610169492,1.5657555422173026,1.2131445251997168,-0.8137259959754608,0.4745762711864407,1.5441689928994524,1.244913277600856,-0.7640602643322247,0.576271186440678
